Week,1970s,1980s,1990s,2000s,2010s
1,6.73972626,8.482299259,4.05194642,4.751034901,4.438226031
2,6.805338393,9.381073763,3.938211112,5.383234259,5.498136625
3,7.115515335,9.956637021,3.918796886,6.059536129,6.893583021
4,7.69325193,10.25434574,4.005530414,6.621987958,8.207143569
5,8.593274283,10.27574043,4.121245418,6.939453771,8.982356757
6,9.893548152,9.942706759,4.265264289,7.327266825,8.79731667
7,11.46142978,9.853935491,4.329273208,7.52327061,8.032004641
8,13.36749751,9.885888204,4.334938118,7.659393302,7.2513849
9,15.48989477,10.1133875,4.321271857,7.831327686,6.675754737
10,17.22287677,10.05650226,4.309956992,7.769711884,6.056102159
11,17.97086004,9.58025174,4.368125009,7.408212242,5.475392242
12,17.81091337,9.301052702,4.577592166,6.982697874,4.808945524
13,16.59936348,9.099034745,4.753576619,6.800399171,4.352457773
14,14.7118544,8.815342587,4.696991601,6.557770977,3.998208505
15,12.5786003,8.791819069,4.569026372,6.439618821,3.690043428
16,10.75498303,8.858934528,4.275220892,6.30720909,3.425845517
17,9.384298908,8.574192442,3.992233989,6.135945165,3.149957101
18,8.749210752,7.98897678,3.796963529,5.89548887,2.935593375
19,8.570688662,7.224247612,3.640167516,5.73524351,2.747540496
20,8.773179954,6.654315107,3.590606976,5.593145219,2.73005027
21,9.22788082,6.306314187,3.587067535,5.544234941,2.831096783
22,10.08522301,6.526065124,3.714571524,5.485047595,3.081177246
23,11.30529356,7.143445565,3.97564098,5.509518538,3.447922455
24,12.94008336,7.939047342,4.460145788,5.581434296,3.914126987
25,14.52086201,8.942699589,4.996614889,5.801296114,4.454377551
26,15.67698971,9.79966519,5.655874982,5.851123999,4.925129312
27,16.22189102,10.74696021,6.333088354,5.864326446,5.275283674
28,16.38718699,11.50132791,6.948174279,5.82707916,5.560843525
29,16.02588985,12.29788839,7.387668327,5.80566177,5.873656807
30,15.73672953,12.87008257,7.835225251,5.949430564,6.265650646
31,15.65420498,13.07785405,8.228772826,6.196791551,6.661889847
32,15.51692474,12.8671236,8.60677792,6.528117802,6.930984997
33,15.28347445,12.40256011,8.789281158,6.888387598,6.94750706
34,14.61639088,11.98963615,8.780833719,7.28815645,6.957773218
35,13.83757305,11.804595,8.477001271,7.492553298,6.891228746
36,12.95284049,11.2951176,8.073648741,7.742111132,6.604158242
37,12.0259163,10.7280633,7.892289003,8.142384981,6.445479017
38,11.05594708,9.844435473,7.760148873,8.515262011,6.208604791
39,10.21770993,9.319201151,7.81120148,8.729858333,5.936369474
40,9.56211309,8.977682308,7.705446575,8.584062813,5.631124703
41,8.906671534,8.580020298,7.543024874,8.168249816,5.301292541
42,8.548007919,7.687450583,7.287267551,7.463202611,4.994230411
43,8.283907822,7.087450936,7.09495335,6.568464637,4.624068754
44,8.227416066,6.729915584,6.508834852,5.808656584,4.24263913
45,8.255052003,6.618875075,5.991242056,5.143553597,3.771790153
46,8.194382209,6.535865453,5.676575202,4.701108565,3.36610574
47,7.797591408,6.754214024,5.438046209,4.216783565,3.036462497
48,7.317613859,7.190570471,5.321871683,3.852114597,2.872206961
49,6.867057514,7.795233755,5.197008338,3.618437288,2.871957656
50,6.512739144,8.152593431,5.067037148,3.481152666,2.969051588
51,6.288250953,8.024110316,4.82555935,3.543864522,3.203387259
52,6.171720348,7.330475907,4.54266221,3.722568178,3.587123687
